date,type,weighted_return,weighted_rolling_return
2025-02-06,Altcoin,-4.051865360469107,-2.5975864509143136
2025-02-06,BTC,-1.5649987909649221,-0.9840045230284253
2025-02-06,ETH,1.8308105728340074,-1.4615860920539039
2025-02-07,Altcoin,-2.1903271898233734,-3.3574261261921547
2025-02-07,BTC,0.054390509391688546,-1.122582388013999
2025-02-07,ETH,-3.7229135361331878,-2.607225133951958
2025-02-08,Altcoin,1.2527813898513775,-2.9315204442200358
2025-02-08,BTC,-0.07964206566111187,-0.8068684019126683
2025-02-08,ETH,-2.35279344992686,-3.1550619751997835
2025-02-09,Altcoin,2.8800921562378154,-1.7165122777500252
2025-02-09,BTC,-0.00022647903057393393,-0.5686334408317703
2025-02-09,ETH,0.4631472591273944,-2.346302515624466
2025-02-10,Altcoin,-0.5086802357030961,-0.5129000139059446
2025-02-10,BTC,-0.010003259641677698,-0.1292554044784628
2025-02-10,ETH,-0.11630438682375122,-1.1636588491165594
2025-02-11,Altcoin,1.2157942114952336,-0.9737077761100301
2025-02-11,BTC,0.8818389373592916,-0.5740937111584724
2025-02-11,ETH,1.0545337068468719,-1.0884455451211659
2025-02-12,Altcoin,1.091320103133106,-0.03259353412054024
2025-02-12,BTC,-1.7043167930165692,-0.346136848794839
2025-02-12,ETH,-2.1525203445864616,-0.7137200255231415
2025-02-13,Altcoin,3.483321339472395,1.0460132383708196
2025-02-13,BTC,2.189483691189942,0.19021779151299864
2025-02-13,ETH,5.118526152751457,-0.24404637124922018
2025-02-14,Altcoin,-0.4694169056910916,1.2690697759149951
2025-02-14,BTC,-1.3027128109943664,-0.0036541113992949142
2025-02-14,ETH,-2.2132796090502893,-0.02838438166594897
2025-02-15,Altcoin,3.1236615485928962,1.5236872951268734
2025-02-15,BTC,0.9598192987589016,0.14484036923213559
2025-02-15,ETH,1.829826519653488,0.5691327568455293
2025-02-16,Altcoin,-0.4110508950642753,1.0647310475442788
2025-02-16,BTC,0.08356906138937692,0.15681116072069998
2025-02-16,ETH,-1.1688919812731124,0.3359842939311712
2025-02-17,Altcoin,-0.9225086162208471,1.016837429200827
2025-02-17,BTC,-1.4559843628242475,-0.04975756830538141
2025-02-17,ETH,-1.2224961946419866,0.17795689281428043
2025-02-18,Altcoin,-2.145303497086854,0.5464048900463422
2025-02-18,BTC,-0.38813702046928134,-0.23118270513803468
2025-02-18,ETH,3.082945930846326,0.4677300676713453
2025-02-19,Altcoin,-3.863737441078835,-0.1632045155205242
2025-02-19,BTC,-0.29262575740679475,-0.02951255719378119
2025-02-19,ETH,-2.640885708686902,0.39796358708556806
