type,date,vol_24hr,total_daily_vol,daily_%_vol
Altcoin,2025-06-29,7909167691.443585,22657359275.561264,34.91
Altcoin,2025-06-30,7640471518.018371,32757808112.218296,23.32
Altcoin,2025-07-01,14054284488.879087,52850716056.232666,26.59
Altcoin,2025-07-02,10667704272.355389,48634832132.18892,21.93
Altcoin,2025-07-03,13922165799.048347,72179924186.28946,19.29
Altcoin,2025-07-04,13694637792.49164,63410056972.74631,21.6
Altcoin,2025-07-05,10413185758.959602,51039208959.72047,20.4
Altcoin,2025-07-06,5074129673.6626625,21918348896.914062,23.15
Altcoin,2025-07-07,9596007300.63832,33286335813.939587,28.83
Altcoin,2025-07-08,12317372500.541872,53758441873.395096,22.91
Altcoin,2025-07-09,11009896963.677591,46249139230.53534,23.81
Altcoin,2025-07-10,15701493331.741564,79406200546.65007,19.77
Altcoin,2025-07-11,27454957199.232174,122967868408.50374,22.33
Altcoin,2025-07-12,52273737808.811714,158914434397.25327,32.89
Altcoin,2025-07-13,27610040499.022224,69433432544.0193,39.76
Altcoin,2025-07-14,23620667537.27629,69536691041.34099,33.97
Altcoin,2025-07-15,43870653735.11623,154123032111.96478,28.46
Altcoin,2025-07-16,36928426483.85767,160644177747.85718,22.99
Altcoin,2025-07-17,43115095979.65816,148371519559.44952,29.06
Altcoin,2025-07-18,59452175355.77315,154413757842.16635,38.5
Altcoin,2025-07-19,76893869596.95816,208325843311.6323,36.91
Altcoin,2025-07-20,35527168363.2538,86479588608.98816,41.08
Altcoin,2025-07-21,51209795200.65763,143087005814.81604,35.79
Altcoin,2025-07-22,64058108844.96852,157648075500.97314,40.63
Altcoin,2025-07-23,68223492497.19641,179519555463.33194,38.0
Altcoin,2025-07-24,64239193169.38449,157119923744.90015,40.89
Altcoin,2025-07-25,56090739428.64997,155363445660.99442,36.1
Altcoin,2025-07-26,47940492157.14103,188180667583.36777,25.48
Altcoin,2025-07-27,18872975367.318928,69371334945.93025,27.21
Altcoin,2025-07-28,21909343764.43677,78175026317.21762,28.03
Altcoin,2025-07-29,34371680960.34389,116549012990.38681,29.49
Altcoin,2025-07-30,23792634355.6416,101576290943.20451,23.42
Altcoin,2025-07-31,23054787549.482674,94820060655.81514,24.31
Altcoin,2025-08-01,19566436952.483315,96116802092.73843,20.36
Altcoin,2025-08-02,32417866429.785107,140644281482.18854,23.05
Altcoin,2025-08-03,18131942739.43964,79840057228.43347,22.71
